bid,ask,mid,last,underlying_price,open_interest,iv,delta,gamma,theta,vega,symbol,expiration_date,strike,option_type,option_symbol
26.7,29.5,28.1,27.5,202.52,1150,,,,,,AAPL,2025-07-18,185.0,C,AAPL250718C00185000
26.15,26.45,26.3,26.55,202.14,996,,,,,,AAPL,2025-07-18,185.0,C,AAPL250718C00185000
21.05,21.3,21.18,20.48,194.27,974,,,,,,AAPL,2025-07-18,185.0,C,AAPL250718C00185000
22.55,22.8,22.68,22.65,196.98,963,,,,,,AAPL,2025-07-18,185.0,C,AAPL250718C00185000
20.1,20.35,20.23,18.6,193.16,950,,,,,,AAPL,2025-07-18,185.0,C,AAPL250718C00185000
23.95,25.3,24.62,24.0,199.74,953,,,,,,AAPL,2025-07-18,185.0,C,AAPL250718C00185000
27.25,28.55,27.9,27.8,204.6,963,,,,,,AAPL,2025-07-18,185.0,C,AAPL250718C00185000
29.75,30.1,29.92,30.04,208.37,959,,,,,,AAPL,2025-07-18,185.0,C,AAPL250718C00185000
29.35,30.55,29.95,29.83,209.28,1065,,,,,,AAPL,2025-07-18,185.0,C,AAPL250718C00185000
30.9,31.2,31.05,31.65,210.14,1063,,,,,,AAPL,2025-07-18,185.0,C,AAPL250718C00185000
31.6,31.95,31.78,31.88,211.21,1062,,,,,,AAPL,2025-07-18,185.0,C,AAPL250718C00185000
32.9,33.2,33.05,33.35,212.5,1063,,,,,,AAPL,2025-07-18,185.0,C,AAPL250718C00185000
32.9,35.2,34.05,33.07,213.32,1078,,,,,,AAPL,2025-07-18,185.0,C,AAPL250718C00185000
25.85,26.2,26.02,25.7,205.35,1079,,,,,,AAPL,2025-07-18,185.0,C,AAPL250718C00185000
21.1,21.4,21.25,21.2,198.89,1086,,,,,,AAPL,2025-07-18,185.0,C,AAPL250718C00185000
20.05,21.7,20.88,21.6,198.51,1096,,,,,,AAPL,2025-07-18,185.0,C,AAPL250718C00185000
19.0,19.35,19.18,18.22,196.25,1105,,,,,,AAPL,2025-07-18,185.0,C,AAPL250718C00185000
19.6,19.85,19.73,20.52,197.49,1113,,,,,,AAPL,2025-07-18,185.0,C,AAPL250718C00185000
20.0,20.2,20.1,20.69,198.53,1105,,,,,,AAPL,2025-07-18,185.0,C,AAPL250718C00185000
29.45,29.7,29.58,29.15,210.79,1106,,,,,,AAPL,2025-07-18,185.0,C,AAPL250718C00185000
7.9,8.15,8.02,7.25,202.52,3668,,,,,,AAPL,2025-07-18,185.0,P,AAPL250718P00185000
7.2,7.35,7.28,7.15,202.14,3553,,,,,,AAPL,2025-07-18,185.0,P,AAPL250718P00185000
9.9,10.1,10.0,10.25,194.27,3595,,,,,,AAPL,2025-07-18,185.0,P,AAPL250718P00185000
8.9,9.05,8.98,9.0,196.98,3885,,,,,,AAPL,2025-07-18,185.0,P,AAPL250718P00185000
10.25,10.45,10.35,10.35,193.16,3918,,,,,,AAPL,2025-07-18,185.0,P,AAPL250718P00185000
6.05,8.8,7.42,7.75,199.74,3922,,,,,,AAPL,2025-07-18,185.0,P,AAPL250718P00185000
6.25,6.4,6.32,6.1,204.6,4031,,,,,,AAPL,2025-07-18,185.0,P,AAPL250718P00185000
4.95,5.05,5.0,4.9,208.37,4033,,,,,,AAPL,2025-07-18,185.0,P,AAPL250718P00185000
4.4,4.5,4.45,4.6,209.28,4211,,,,,,AAPL,2025-07-18,185.0,P,AAPL250718P00185000
4.2,4.3,4.25,4.0,210.14,4238,,,,,,AAPL,2025-07-18,185.0,P,AAPL250718P00185000
3.9,4.0,3.95,3.99,211.21,4259,,,,,,AAPL,2025-07-18,185.0,P,AAPL250718P00185000
4.0,4.15,4.08,4.0,212.5,4355,,,,,,AAPL,2025-07-18,185.0,P,AAPL250718P00185000
3.6,3.75,3.68,3.69,213.32,4376,,,,,,AAPL,2025-07-18,185.0,P,AAPL250718P00185000
4.2,4.3,4.25,4.37,205.35,4523,,,,,,AAPL,2025-07-18,185.0,P,AAPL250718P00185000
5.8,5.9,5.85,5.7,198.89,4941,,,,,,AAPL,2025-07-18,185.0,P,AAPL250718P00185000
5.9,6.0,5.95,5.68,198.51,4902,,,,,,AAPL,2025-07-18,185.0,P,AAPL250718P00185000
6.4,6.6,6.5,6.42,196.25,5228,,,,,,AAPL,2025-07-18,185.0,P,AAPL250718P00185000
5.7,5.85,5.78,5.65,197.49,6125,,,,,,AAPL,2025-07-18,185.0,P,AAPL250718P00185000
5.2,5.3,5.25,5.2,198.53,6730,,,,,,AAPL,2025-07-18,185.0,P,AAPL250718P00185000
2.16,2.2,2.18,2.32,210.79,6861,,,,,,AAPL,2025-07-18,185.0,P,AAPL250718P00185000
23.1,25.95,24.52,25.0,202.52,1487,,,,,,AAPL,2025-07-18,190.0,C,AAPL250718C00190000
22.55,22.9,22.72,22.75,202.14,1409,,,,,,AAPL,2025-07-18,190.0,C,AAPL250718C00190000
17.9,18.05,17.98,18.05,194.27,1434,,,,,,AAPL,2025-07-18,190.0,C,AAPL250718C00190000
19.25,19.55,19.4,19.3,196.98,1479,,,,,,AAPL,2025-07-18,190.0,C,AAPL250718C00190000
17.0,17.2,17.1,16.45,193.16,1449,,,,,,AAPL,2025-07-18,190.0,C,AAPL250718C00190000
19.65,21.85,20.75,20.67,199.74,1547,,,,,,AAPL,2025-07-18,190.0,C,AAPL250718C00190000
23.7,25.0,24.35,23.55,204.6,1523,,,,,,AAPL,2025-07-18,190.0,C,AAPL250718C00190000
25.95,26.25,26.1,25.72,208.37,1541,,,,,,AAPL,2025-07-18,190.0,C,AAPL250718C00190000
26.3,27.6,26.95,26.4,209.28,1544,,,,,,AAPL,2025-07-18,190.0,C,AAPL250718C00190000
26.95,27.2,27.08,26.97,210.14,1572,,,,,,AAPL,2025-07-18,190.0,C,AAPL250718C00190000
27.65,27.85,27.75,26.95,211.21,1637,,,,,,AAPL,2025-07-18,190.0,C,AAPL250718C00190000
28.75,29.2,28.98,29.3,212.5,1640,,,,,,AAPL,2025-07-18,190.0,C,AAPL250718C00190000
28.85,30.7,29.78,29.7,213.32,1646,,,,,,AAPL,2025-07-18,190.0,C,AAPL250718C00190000
21.95,22.3,22.12,21.6,205.35,1654,,,,,,AAPL,2025-07-18,190.0,C,AAPL250718C00190000
17.65,17.8,17.73,17.6,198.89,1611,,,,,,AAPL,2025-07-18,190.0,C,AAPL250718C00190000
17.25,17.5,17.38,17.52,198.51,1643,,,,,,AAPL,2025-07-18,190.0,C,AAPL250718C00190000
15.7,15.95,15.82,15.6,196.25,1652,,,,,,AAPL,2025-07-18,190.0,C,AAPL250718C00190000
16.15,16.35,16.25,17.02,197.49,1689,,,,,,AAPL,2025-07-18,190.0,C,AAPL250718C00190000
16.45,16.65,16.55,16.6,198.53,1717,,,,,,AAPL,2025-07-18,190.0,C,AAPL250718C00190000
25.2,25.4,25.3,24.75,210.79,1718,,,,,,AAPL,2025-07-18,190.0,C,AAPL250718C00190000
9.35,9.5,9.43,9.44,202.52,3973,,,,,,AAPL,2025-07-18,190.0,P,AAPL250718P00190000
8.55,8.75,8.65,8.75,202.14,4127,,,,,,AAPL,2025-07-18,190.0,P,AAPL250718P00190000
11.7,11.9,11.8,11.85,194.27,4363,,,,,,AAPL,2025-07-18,190.0,P,AAPL250718P00190000
10.5,10.75,10.62,10.7,196.98,4360,,,,,,AAPL,2025-07-18,190.0,P,AAPL250718P00190000
12.2,12.4,12.3,12.25,193.16,4582,,,,,,AAPL,2025-07-18,190.0,P,AAPL250718P00190000
9.25,10.45,9.85,9.21,199.74,5181,,,,,,AAPL,2025-07-18,190.0,P,AAPL250718P00190000
7.6,7.8,7.7,7.55,204.6,5105,,,,,,AAPL,2025-07-18,190.0,P,AAPL250718P00190000
6.05,6.2,6.12,6.0,208.37,5396,,,,,,AAPL,2025-07-18,190.0,P,AAPL250718P00190000
5.05,5.55,5.3,5.5,209.28,5424,,,,,,AAPL,2025-07-18,190.0,P,AAPL250718P00190000
5.2,5.3,5.25,5.09,210.14,5549,,,,,,AAPL,2025-07-18,190.0,P,AAPL250718P00190000
4.85,4.95,4.9,4.85,211.21,5644,,,,,,AAPL,2025-07-18,190.0,P,AAPL250718P00190000
4.9,5.05,4.97,4.8,212.5,5966,,,,,,AAPL,2025-07-18,190.0,P,AAPL250718P00190000
4.5,4.6,4.55,4.5,213.32,6059,,,,,,AAPL,2025-07-18,190.0,P,AAPL250718P00190000
5.25,5.4,5.32,5.5,205.35,6403,,,,,,AAPL,2025-07-18,190.0,P,AAPL250718P00190000
7.25,7.35,7.3,7.3,198.89,6456,,,,,,AAPL,2025-07-18,190.0,P,AAPL250718P00190000
7.4,7.5,7.45,6.9,198.51,6470,,,,,,AAPL,2025-07-18,190.0,P,AAPL250718P00190000
8.0,8.2,8.1,8.15,196.25,6467,,,,,,AAPL,2025-07-18,190.0,P,AAPL250718P00190000
7.25,7.4,7.32,7.37,197.49,6544,,,,,,AAPL,2025-07-18,190.0,P,AAPL250718P00190000
6.65,6.75,6.7,6.65,198.53,6881,,,,,,AAPL,2025-07-18,190.0,P,AAPL250718P00190000
2.83,2.88,2.86,2.88,210.79,7069,,,,,,AAPL,2025-07-18,190.0,P,AAPL250718P00190000
19.65,21.6,20.62,20.65,202.52,1959,,,,,,AAPL,2025-07-18,195.0,C,AAPL250718C00195000
