symbol,expiration_date,strike,option_type,option_symbol,timestamp,bid,ask,last,volume,open_interest,implied_volatility,delta,gamma,theta,vega,underlying_price,expiration_date_dt,mid,days_to_expiry,moneyness,relative_strike,bid_ask_spread,bid_ask_spread_percent,volume_oi_ratio,intrinsic_value,time_value
AAPL,2025-07-18,185.0,C,AAPL250718C00185000,2025-05-13 11:13:50,29.45,29.7,29.15,92,1106,0.326,0.856,0.008,-0.068,20.53,210.79,2025-07-18,29.575,65,0.8776507424450876,-0.12234925755491244,0.25,0.008417508417508417,0.08318264014466546,25.789999999999992,3.7850000000000072
AAPL,2025-07-18,185.0,P,AAPL250718P00185000,2025-05-13 11:13:50,2.16,2.2,2.32,1264,6861,0.319,-0.14,0.008,-0.044,20.077,210.79,2025-07-18,2.18,65,0.8776507424450876,-0.12234925755491244,0.040000000000000036,0.018181818181818195,0.18422970412476317,0.0,2.18
AAPL,2025-07-18,190.0,C,AAPL250718C00190000,2025-05-13 11:13:51,25.2,25.4,24.75,345,1718,0.313,0.816,0.009,-0.073,24.005,210.79,2025-07-18,25.299999999999997,65,0.9013710327814413,-0.09862896721855872,0.1999999999999993,0.007874015748031468,0.20081490104772992,20.789999999999992,4.510000000000005
AAPL,2025-07-18,190.0,P,AAPL250718P00190000,2025-05-13 11:13:51,2.83,2.88,2.88,1096,7069,0.306,-0.179,0.009,-0.049,23.626,210.79,2025-07-18,2.855,65,0.9013710327814413,-0.09862896721855872,0.04999999999999982,0.01736111111111105,0.15504314613099449,0.0,2.855
AAPL,2025-07-18,195.0,C,AAPL250718C00195000,2025-05-13 11:13:51,21.1,21.3,20.72,225,2390,0.299,0.768,0.011,-0.078,27.517,210.79,2025-07-18,21.200000000000003,65,0.925091323117795,-0.074908676882205,0.1999999999999993,0.009389671361502313,0.09414225941422594,15.789999999999992,5.410000000000011
AAPL,2025-07-18,195.0,P,AAPL250718P00195000,2025-05-13 11:13:52,3.7,3.8,3.77,2478,7453,0.294,-0.228,0.011,-0.054,27.323,210.79,2025-07-18,3.75,65,0.925091323117795,-0.074908676882205,0.09999999999999964,0.02631578947368412,0.33248356366563797,0.0,3.75
AAPL,2025-07-18,200.0,C,AAPL250718C00200000,2025-05-13 11:13:52,17.3,17.5,17.4,1187,5610,0.287,0.71,0.013,-0.082,30.922,210.79,2025-07-18,17.4,65,0.9488116134541487,-0.05118838654585128,0.1999999999999993,0.011428571428571389,0.21158645276292334,10.789999999999992,6.6100000000000065
AAPL,2025-07-18,200.0,P,AAPL250718P00200000,2025-05-13 11:13:53,4.85,4.95,5.0,2752,13088,0.282,-0.288,0.013,-0.057,30.805,210.79,2025-07-18,4.9,65,0.9488116134541487,-0.05118838654585128,0.10000000000000053,0.020202020202020308,0.21026894865525672,0.0,4.9
AAPL,2025-07-18,205.0,C,AAPL250718C00205000,2025-05-13 11:13:53,13.85,13.95,13.83,965,6082,0.276,0.641,0.015,-0.084,33.749,210.79,2025-07-18,13.899999999999999,65,0.9725319037905025,-0.027468096209497566,0.09999999999999964,0.007168458781361982,0.15866491285761264,5.789999999999992,8.110000000000007
AAPL,2025-07-18,205.0,P,AAPL250718P00205000,2025-05-13 11:13:53,6.35,6.45,6.42,2964,8755,0.273,-0.358,0.015,-0.059,33.717,210.79,2025-07-18,6.4,65,0.9725319037905025,-0.027468096209497566,0.10000000000000053,0.015503875968992331,0.33854940034266134,0.0,6.4
