symbol,expiration_date,strike,option_type,option_symbol,timestamp,bid,ask,last,volume,open_interest,iv,delta,gamma,theta,vega,underlying_price
AAPL,2025-07-18,185.0,C,AAPL250718C00185000,2025-05-13 10:50:23,29.45,29.7,29.15,92,1106,0.326,0.856,0.008,-0.068,20.53,210.79
AAPL,2025-07-18,185.0,P,AAPL250718P00185000,2025-05-13 10:50:23,2.16,2.2,2.32,1264,6861,0.319,-0.14,0.008,-0.044,20.077,210.79
AAPL,2025-07-18,190.0,C,AAPL250718C00190000,2025-05-13 10:50:24,25.2,25.4,24.75,345,1718,0.313,0.816,0.009,-0.073,24.005,210.79
AAPL,2025-07-18,190.0,P,AAPL250718P00190000,2025-05-13 10:50:24,2.83,2.88,2.88,1096,7069,0.306,-0.179,0.009,-0.049,23.626,210.79
AAPL,2025-07-18,195.0,C,AAPL250718C00195000,2025-05-13 10:50:24,21.1,21.3,20.72,225,2390,0.299,0.768,0.011,-0.078,27.517,210.79
AAPL,2025-07-18,195.0,P,AAPL250718P00195000,2025-05-13 10:50:25,3.7,3.8,3.77,2478,7453,0.294,-0.228,0.011,-0.054,27.323,210.79
AAPL,2025-07-18,200.0,C,AAPL250718C00200000,2025-05-13 10:50:25,17.3,17.5,17.4,1187,5610,0.287,0.71,0.013,-0.082,30.922,210.79
AAPL,2025-07-18,200.0,P,AAPL250718P00200000,2025-05-13 10:50:26,4.85,4.95,5.0,2752,13088,0.282,-0.288,0.013,-0.057,30.805,210.79
AAPL,2025-07-18,205.0,C,AAPL250718C00205000,2025-05-13 10:50:26,13.85,13.95,13.83,965,6082,0.276,0.641,0.015,-0.084,33.749,210.79
AAPL,2025-07-18,205.0,P,AAPL250718P00205000,2025-05-13 10:50:26,6.35,6.45,6.42,2964,8755,0.273,-0.358,0.015,-0.059,33.717,210.79
AAPL,2025-07-18,210.0,C,AAPL250718C00210000,2025-05-13 10:50:27,10.7,10.85,10.75,2802,6147,0.265,0.563,0.016,-0.083,35.575,210.79
AAPL,2025-07-18,210.0,P,AAPL250718P00210000,2025-05-13 10:50:27,8.2,8.35,8.37,1313,7626,0.264,-0.437,0.016,-0.058,35.573,210.79
AAPL,2025-07-18,215.0,C,AAPL250718C00215000,2025-05-13 10:50:27,8.05,8.15,8.05,2566,9622,0.257,0.479,0.017,-0.08,35.978,210.79
AAPL,2025-07-18,215.0,P,AAPL250718P00215000,2025-05-13 10:50:28,10.55,10.7,11.05,408,6446,0.257,-0.521,0.017,-0.055,35.978,210.79
AAPL,2025-07-18,220.0,C,AAPL250718C00220000,2025-05-13 10:50:28,5.85,5.95,5.85,3100,10169,0.25,0.393,0.017,-0.074,34.718,210.79
AAPL,2025-07-18,220.0,P,AAPL250718P00220000,2025-05-13 10:50:28,13.4,13.55,13.98,505,5230,0.252,-0.606,0.017,-0.049,34.756,210.79
AAPL,2025-07-18,225.0,C,AAPL250718C00225000,2025-05-13 10:50:30,4.1,4.2,4.1,1432,13199,0.244,0.31,0.016,-0.065,31.853,210.79
AAPL,2025-07-18,225.0,P,AAPL250718P00225000,2025-05-13 10:50:30,16.65,16.95,17.15,39,3711,0.25,-0.685,0.016,-0.041,32.098,210.79
AAPL,2025-07-18,230.0,C,AAPL250718C00230000,2025-05-13 10:50:31,2.82,2.86,2.83,5207,51671,0.24,0.235,0.014,-0.055,27.784,210.79
AAPL,2025-07-18,230.0,P,AAPL250718P00230000,2025-05-13 10:50:32,20.3,20.8,20.73,56,3733,0.251,-0.753,0.014,-0.032,28.496,210.79
AAPL,2025-07-18,235.0,C,AAPL250718C00235000,2025-05-13 10:50:32,1.91,1.93,1.91,1582,9986,0.238,0.174,0.012,-0.045,23.201,210.79
AAPL,2025-07-18,235.0,P,AAPL250718P00235000,2025-05-13 10:50:33,24.7,25.05,25.19,14,2414,0.262,-0.8,0.012,-0.027,25.28,210.79
